"tSNE_1"	"tSNE_2"
"TTS1-1202"	23.667853833505	8.81707483471419
"TTS12-1202"	44.2643336011436	2.63861027728558
"TTS13-1202"	43.8527486245578	3.41950705321078
"TTS14-1202"	44.5092491482701	4.9752706457752
"TTS15-1202"	42.7546737670216	4.69047646510213
"TTS17-1202"	44.5401739936697	2.93801614340799
"TTS18-1202"	44.4863168812537	3.28884158061596
"TTS19-1202"	45.16525737894	4.94584289106097
"TTS20-1202"	43.7002580386176	4.51003736400472
"TTS2-0205"	34.6332436860175	-12.9089528635782
"TTS21-1202"	44.3221410042043	1.75653868352693
"TTS22-0205"	30.6820007452958	-7.02318617716302
"TTS22-1202"	44.6957951373174	3.69628613773462
"TTS24-1202"	44.5501487049068	3.38736062100733
"TTS25-1202"	45.0096834494096	4.79870822719366
"TTS26-1202"	44.4654412836749	3.1292948421583
"TTS28-1202"	44.6191868102669	3.40442202780894
"TTS29-1202"	44.7271995552222	4.32053184361223
"TTS31-1202"	44.2143977971904	2.08434369189033
"TTS3-1202"	42.8309093405908	4.41598621856258
"TTS32-1202"	44.6671076029234	4.81196803640381
"TTS33-1202"	44.9553882252857	4.40592973144519
"TTS34-1202"	44.9125220441984	4.26167050238069
"TTS35-1202"	44.8434628665104	6.18067497060452
"TTS36-1202"	42.5468626723648	5.64897208590057
"TTS38-1202"	43.2959409450807	3.7078492039438
"TTS39-1202"	43.2329393176309	2.2001267896425
"TTS40-1202"	42.6243375088654	5.62455523813836
"TTS4-0205"	32.7285310715661	-11.8629779642832
"TTS41-1202"	44.6839107460698	2.82186073743891
"TTS4-1202"	44.115103224699	2.71698815093914
"TTS42-1202"	43.6988194888679	5.38383781975979
"TTS43-1202"	45.0813385852861	4.31945240866827
"TTS44-1202"	43.3447928176287	2.42941336171809
"TTS45-1202"	43.5361405816586	4.73752866315073
"TTS46-1202"	44.6270522000106	4.29711268059021
"TTS47-1202"	44.373323989636	4.76396945558421
"TTS48-1202"	44.5909552772743	3.4071097524482
"TTS5-1202"	43.9951807578126	4.58580863186364
"TTS6-0205"	34.1322391766999	-13.3616630948258
"TTS7-1202"	42.6849861748888	3.8382310750602
"TTS8-1202"	42.3405531715269	5.02455425269469
"NTC2-10-0508"	-3.92374194617952	-19.0923749081215
"NTC2-1-0508"	-21.4864833920157	-20.2761243401652
"NTC2-11-0508"	-0.337568745165353	-11.6556806177044
"NTC2-12-0508"	-5.07303781459669	-20.7541828239411
"NTC2-14-0508"	-21.4205738682036	-19.5980713026314
"NTC2-15-0508"	12.893131364949	-34.9612545972603
"NTC2-16-0508"	1.76988913314723	-9.34065084383328
"NTC2-17-0508"	0.120831413678922	-11.0280127596015
"NTC2-18-0508"	-6.11126956471536	-21.4718119830603
"NTC2-19-0508"	-1.3069846476998	-4.69150711357216
"NTC2-20-0508"	-4.61570467065444	-19.5365939255042
"NTC2-2-0508"	2.13741314134935	-6.68190483559874
"NTC2-21-0508"	-1.45574667852292	-5.13332949483567
"NTC2-22-0508"	1.52503226487928	-9.82942670540249
"NTC2-23-0508"	-6.63613329231695	-15.7099746884594
"NTC2-24-0508"	-8.6547193197208	-22.7134759302143
"NTC2-25-0508"	4.06296751553309	-8.04020961998546
"NTC2-26-0508"	-1.75608343132849	-14.2288615087415
"NTC2-27-0508"	3.16430422869325	-8.02757877102075
"NTC2-28-0508"	-6.59881390727243	-19.1834627004506
"NTC2-29-0508"	1.77290601116062	-8.93872678113267
"NTC2-30-0508"	2.00344727433486	-9.03345298287189
"NTC2-3-0508"	-6.05246805087561	-16.2257559142601
"NTC2-31-0508"	2.23841459581104	-9.24750189495636
"NTC2-32-0508"	-4.68700874150344	-18.826035740366
"NTC2-33-0508"	-2.42335580548478	-15.6542718904236
"NTC2-34-0508"	-4.38170936729112	-19.7234647490861
"NTC2-36-0508"	2.41781004385108	-9.86670594851675
"NTC2-37-0508"	-21.8485347823746	-16.6037306565713
"NTC2-38-0508"	-5.3302360505966	-20.4411577493406
"NTC2-39-0508"	-4.0020014642059	-19.3127543388346
"NTC2-40-0508"	2.56335014230016	-8.80345737087383
"NTC2-41-0508"	-6.47397802397772	-21.5740579569287
"NTC2-43-0508"	4.67645577139485	-7.4761833864168
"NTC2-44-0508"	0.88836349651885	-6.00141040257859
"NTC2-45-0508"	-5.32490689484405	-19.9308721343432
"NTC2-46-0508"	-1.4278040909318	-18.6608666878309
"NTC2-47-0508"	2.4590275531396	-6.8348698943223
"NTC2-48-0508"	-26.1077392230073	-21.9910991992581
"NTC2-49-0508"	2.54040037220419	-4.79399027736149
"NTC2-50-0508"	4.15043831862233	-8.30704252109252
"NTC2-5-0508"	-6.68919543409978	-19.2183312621738
"NTC2-51-0508"	3.04051252454421	-8.4145320012792
"NTC2-52-0508"	-6.05896768586787	-19.949548925548
"NTC2-53-0508"	-4.86642420498772	-21.9407972256671
"NTC2-54-0508"	4.44088709496212	-7.67480605056285
"NTC2-55-0508"	8.33500555590847	-3.73866893076928
"NTC2-56-0508"	1.05063714203449	-9.42676453085971
"NTC2-57-0508"	1.26897465949633	-9.89967550476323
"NTC2-58-0508"	-5.50065048393583	-20.4239503641166
"NTC2-59-0508"	-8.07528921140532	-19.2765186007209
"NTC2-60-0508"	-2.43045395224064	-15.7877031821855
"NTC2-6-0508"	2.23277213498783	-9.85337943385767
"NTC2-61-0508"	1.7420151540406	-9.64735459107505
"NTC2-62-0508"	-6.30598033913295	-20.1134373368114
"NTC2-63-0508"	-2.02234303010438	-14.4929927652323
"NTC2-64-0508"	-4.86337151817316	-18.7006606475665
"NTC2-65-0508"	2.21744116661918	-9.6244928606529
"NTC2-66-0508"	-20.9657028174306	-20.3732534325601
"NTC2-67-0508"	0.271500399385196	-7.52860368435905
"NTC2-7-0508"	-6.66263944290531	-16.4818877171031
"NTC2-73-0508"	3.495135655087	-8.19768530492088
"NTC2-8-0508"	-6.06369044123742	-19.7934564377136
"NTC2-9-0508"	-8.86940720390808	-11.7370694155739
"NTC2-95-0508"	-4.95398173986732	-21.8841961073053
"NTC2-96-0508"	-4.58262681577248	-21.0990426013529
"PTC03-0205"	32.2952964403858	12.3689752208263
"PTC100-0205"	-25.4563231334772	-19.3602710365124
"PTC103-0205"	-23.5288061655505	-18.6892855657414
"PTC104-0205"	-10.9590878908558	-10.0653925785122
"PTC106-0205"	-7.94442519512182	-9.35086181636708
"PTC107-0205"	28.3052281007043	13.5476552088745
"PTC108-0205"	-19.3953103238657	-16.4344822783717
"PTC109-0205"	-21.1004396574765	-18.8329778720473
"PTC113-0205"	-17.5853567174032	-13.6056613547824
"PTC114-0205"	20.3493263647802	8.56060815083456
"PTC116-0205"	-16.7021212394151	-13.1889370688273
"PTC118-0205"	-9.57344014380925	-5.24285857864294
"PTC119-0205"	28.5932208573989	13.8284748296443
"PTC121-0205"	33.1468218414736	14.0809680345657
"PTC123-0205"	-15.081599106083	-12.2597812163059
"PTC124-0205"	-16.7703074233596	-13.5028282073299
"PTC125-0205"	-16.6546731835792	-15.4459035332094
"PTC128-0205"	28.9489327235619	13.3493825841742
"PTC129-0205"	-27.0306127690714	-20.7633317917865
"PTC130-0205"	20.5615564162227	7.51326324940479
