GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
PTR13-0322	-1.49649563771851	44.3849731662724	1	0.678699157450186	2355.43767822084	#ff5c5c
JTC-59-0508	-27.6353592441631	-30.758714266819	2	0.1	0.0	#ffffff
TTC2-58-0508	-2.49559415397398	-45.1433275560386	7	0.2331777447919249	542.063823568607	#ffdada
TTR115-1116	23.531173834161	-25.9165760549648	8	0.10019615775773998	0.79840685355726	#ffffff
TTC131-1116	-30.2644700141671	11.4927280927833	0	0.1	0.0	#ffffff
TTH106-0508	7.61545107788398	3.60797570517611	6	0.1	0.0	#ffffff
PTR9-0508	15.2042752361073	20.0896547759849	3	0.33669049224278674	963.384335933282	#ffbcbc
TTR31-1116	25.278753878458	-15.2111466085375	8	0.20535574041457028	428.821914451628	#ffe2e2
PTC35-1202	43.0631949524504	12.9250500533245	10	0.10052748126350257	2.14696915766017	#ffffff
PTH3-96-0508	25.920017212859	17.9142890624004	3	0.4255653693843281	1325.12537455654	#ffa3a3
JTS-39-0508	16.1491362227005	2.50831568247031	6	0.10035560688380561	1.44740119622955	#ffffff
PTC139-1116	-37.2323070632551	-8.78413795705314	0	0.10057639331007437	2.34605235301462	#ffffff
NTH16-0508	1.31995550667548	-5.3761989147065	6	0.1	0.0	#ffffff
JTS-82-0508	18.364727073492	25.2020690805865	3	0.8428164013047152	3023.43232594761	#ff2d2d
TTR160-0322	14.7438062760126	-21.5291005257692	8	0.2329790180520899	541.254960371467	#ffdada
TTH188-0508	23.4212515370892	-3.83731094237138	4	0.1	0.0	#ffffff
TTC48-1202	52.6406047961502	8.96429586314498	10	0.3467665897652062	1004.39635305511	#ffbaba
TTC124-1116	-31.8332720525843	13.3228644256771	5	0.10020592091063907	0.83814511462208	#ffffff
JTS-96-0508	28.4260910678646	0.854798396429982	4	0.20160227486036963	413.544452792235	#ffe3e3
PTH34-1116	8.84734095964809	42.7348453700382	1	1.0	4075.40233568846	#ff0000
NTH38-1116	-16.7318331501278	20.5928376496166	0	0.10059627960153163	2.42699409895545	#ffffff
PTC80-0407	-26.2026082117711	-0.507339118181803	0	0.5673366560241253	1902.16687520875	#ff7b7b
NTC70-0407	-32.4118119755319	-5.89905588750484	0	0.10025911734577127	1.05466674947204	#ffffff
TTS46-1202	48.0007590855326	9.64841918341155	10	0.10014284392799178	0.581407395820938	#ffffff
PTC150-1116	-39.0860493925993	-27.3453183070278	2	0.10054039924939702	2.19954830921206	#ffffff
TTH67-0407	-21.1267844833275	24.2052008674593	0	0.10078852592126747	3.20948050691961	#ffffff
NTH175-0407	27.8935762326819	27.2126951818356	3	0.3175766133722353	885.5864855493	#ffc2c2
TTC2-83-0508	-6.01178397814957	-39.8946251819139	7	0.1	0.0	#ffffff
TTC144-0322	-12.3535612145363	3.45154908446729	5	0.1	0.0	#ffffff
TTR204-0407	-24.4362810228567	15.9577867947469	0	0.10083027381507788	3.37940396507822	#ffffff
TTR182-0407	-12.222452132205	3.63906808685009	0	0.1	0.0	#ffffff
TTC47-0508	0.279000630169209	-41.366445363236	7	0.1	0.0	#ffffff
TTC26-1116	10.9340714665028	-37.277482169486	11	0.1	0.0	#ffffff
NTH153-0322	21.9074091000699	33.4747876463797	1	1.0	4032.6070316226	#ff0000
PTS2-6-0508	14.7937560110087	26.2079900867964	3	1.0	7105.54498587865	#ff0000
PTC120-0322	-38.0887358888549	-14.8772422859868	0	0.10049206669237372	2.0028237686078	#ffffff
TTH166-0322	-9.46232317796597	22.9135391244992	0	0.1	0.0	#ffffff
PTH39-0205	24.5830230763492	17.5922984607074	3	0.1	0.0	#ffffff
PTR74-0407	7.97384533431959	43.6601556206206	1	0.9931507304022692	3635.32736420315	#ff0202
NTC168-1116	-24.3591085035231	-13.3703037421861	0	0.10082140527504788	3.34330698261583	#ffffff
TTH11-1116	-22.4697849665116	9.15649779230053	0	0.10058296121904084	2.37278524185257	#ffffff
NTR50-0407	-20.8737092719793	3.10410802912449	0	0.10026344600324652	1.07228537355687	#ffffff
PTS24-0205	21.708351151897	21.6700219786759	3	0.23736442318002773	559.104560357271	#ffd9d9
PTH3-21-0508	24.3619545899552	29.307554040448	3	1.0	3905.53778668634	#ff0000
TTC158-0322	-39.4716468941713	19.3788686529554	5	0.1	0.0	#ffffff
TTS1-8-0508	31.1261673753802	2.13442162460532	4	0.8736878130127123	3149.08601902931	#ff2424
JTC-84-0508	-3.37831374899768	-23.9681841822028	7	0.1	0.0	#ffffff
TTH88-0322	-18.5617132767804	27.0173414413959	0	0.1	0.0	#ffffff
PTH11-0322	0.226661767503426	38.3985186190108	1	0.39807200332437	1213.22109841403	#ffabab
TTH68-1116	12.0627103839182	-19.749449518818	0	0.10112610984623248	4.58352414632601	#ffffff
