GeneName	tSNE_1	tSNE_2	x	CD8A_Opacity	CD8A_Expr	CD8A_Color
TTC2-32-0508	-4.68158985844594	-28.2798863095025	7	0.3859915587659838	816.100502513082	#ffaeae
TTC57-0205	-1.20720766405744	-44.3447858511422	7	0.6717175333721033	1631.44313871969	#ff5e5e
TTR23-0322	19.1078550430014	-21.5675715146275	8	0.1	0.0	#ffffff
PTC108-0205	-19.3733933124992	-26.903006600248	2	0.5617483635323154	1317.63704194383	#ff7d7d
TTR180-0322	43.4757778121329	-19.6055569667688	8	0.1	0.0	#ffffff
PTS95-0205	13.0717723590718	28.8301575401052	4	0.1	0.0	#ffffff
PTC66-0205	-23.2090352088537	-29.7475970429975	2	0.8850239108396322	2240.13048107212	#ff2121
PTH126-0322	-15.0484966311418	29.6343756293655	0	0.1	0.0	#ffffff
NTC113-0322	-7.28435732512531	1.76515244393454	5	0.6365384604855046	1531.056752546	#ff6767
NTC110-1116	-27.1295360368469	-4.48486683231361	0	0.7513509051774756	1858.68353360265	#ff4747
NTH83-1116	-25.1911939136315	6.86907613306162	0	0.1	0.0	#ffffff
NTR2-0407	1.99664425275976	28.2623574960037	1	0.1	0.0	#ffffff
NTC166-0322	-31.5329749967374	-30.8315760842714	2	0.8296356237491385	2082.07543524163	#ff3131
TTC19-0508	20.7312372146543	-39.2664790805202	9	0.7052451177484244	1727.11686620881	#ff5454
TTC21-1116	9.66327281105262	-38.3540257792391	11	1.0	3599.89734930597	#ff0000
PTC150-0322	-43.5695459126587	-14.8341798520573	2	0.16500224397034066	185.489264779596	#ffeded
PTC1-1116	-39.8711074125688	-26.1569141909347	2	0.582839882454788	1377.82343089064	#ff7777
PTR20-0407	-15.4569085866612	31.6201435129553	0	0.1	0.0	#ffffff
NTH164-0407	-25.1505020637988	13.8514284374627	0	0.10055731098237228	1.59033285713945	#ffffff
TTH1-29-0508	23.1694542159136	-2.19648130017823	4	0.1	0.0	#ffffff
PTR73-0407	-1.64823426949823	42.0979721569551	1	0.10070728449524524	2.01829464645723	#ffffff
PTR65-0322	-3.37653346706662	24.2632591255588	1	0.10053296927405873	1.52087178467832	#ffffff
PTR12-0322	1.48088771961457	14.0373620904231	1	0.1	0.0	#ffffff
NTH27-0508	2.58597630834037	3.96522051805012	6	0.1	0.0	#ffffff
TTS86-0205	37.6047054190213	-6.80697032011582	4	0.1	0.0	#ffffff
JTS-28-0508	31.2457487653265	-0.586685752368544	4	0.1	0.0	#ffffff
TTR89-0322	22.9943072672587	-25.0714156020738	8	0.1	0.0	#ffffff
JTS-95-0508	29.5343904040889	3.88360590369121	4	0.1	0.0	#ffffff
TTH1-83-0508	8.3790840868464	7.85807657382093	6	0.1	0.0	#ffffff
TTC45-0322	-38.2929123972388	9.26575002100205	5	0.40014466524181913	856.487559239122	#ffaaaa
JTH-47-0508	4.26687098379946	-1.27720187908048	6	0.1	0.0	#ffffff
PTC125-1116	-40.7165484771468	-26.5193523714309	2	0.5753484864138884	1356.44611437164	#ff7979
PTC2-54-0508	-10.7542649099928	-16.8727957294533	2	0.17669395522331754	218.852527212806	#ffeaea
TTC73-0508	28.0534320974995	-40.1961125709069	9	1.0	2867.41359010828	#ff0000
NTH3-1116	-31.9604753502426	21.0870428550924	5	0.10059415907466948	1.69548192786779	#ffffff
TTC87-1116	-30.3986787690851	-6.31155546280727	0	1.0	4070.24819259827	#ff0000
PTH67-0205	33.0263811904302	28.2093101359464	3	0.1	0.0	#ffffff
NTR18-1116	18.423081141941	-15.5846012854959	8	0.1	0.0	#ffffff
TTH46-0322	-21.7227208821591	-1.14014050557617	0	0.1	0.0	#ffffff
PTH52-1116	-0.310685924300628	38.160533091727	1	0.10085357491615106	2.43574642905261	#ffffff
NTH2-67-0508	8.45149064070959	-4.02068711833735	6	0.1	0.0	#ffffff
TTR20-1116	14.5202834979198	-18.3130503842321	8	0.10073936123892083	2.10982828033646	#ffffff
TTC170-0322	7.65625871656052	-32.0491316016225	11	0.5843253143911429	1382.0622334446	#ff7676
NTC130-1116	-27.1255022651138	-7.53506620333143	0	1.0	2929.01280327697	#ff0000
TTH43	45.9309643334242	8.00290639596089	10	0.1	0.0	#ffffff
TTH66-0322	-36.5301009973781	-24.9340988580232	2	0.1	0.0	#ffffff
PTC46-0205	-30.6519416215886	3.35146660450078	5	0.8319670348937586	2088.72830924567	#ff3030
NTC133-0322	-42.0957389011087	15.264576204268	5	0.8158991671757888	2042.87732337906	#ff3535
NTH197-0407	-38.9952476900473	6.20126280669561	0	0.10075406211200548	2.15177843426244	#ffffff
TTC191-0407	-20.7514380749258	-25.2455601545131	2	0.2761891989176142	502.7704118068	#ffcece
PTS75-0205	33.6896419011395	27.2120382501333	3	0.1	0.0	#ffffff
PTR53-0407	-10.5138046261209	26.1198454884489	0	0.10026851319174239	0.766224540534973	#ffffff
TTH63-1116	12.5320181796928	-19.9534733970217	0	0.1	0.0	#ffffff
TTC1-7-0508	-16.4751481121513	-29.2762705491395	2	0.7742942763059428	1924.15433556645	#ff4040
TTH48	46.407790369308	11.4466081025753	10	0.1	0.0	#ffffff
PTC138-1116	-42.7711217247197	-16.9291415225914	2	1.0	3743.94915268897	#ff0000
PTC130-0322	-34.1814412341868	9.72634695409437	5	0.6864857712080384	1673.58552351994	#ff5959
TTH45	45.360538895488	12.6209334008545	10	0.1	0.0	#ffffff
TTC189-0407	-11.6097202349837	-7.45262785577105	2	0.4008644922525323	858.541644988017	#ffaaaa
TTS66-0205	41.626153660348	-16.1899965694979	4	0.1	0.0	#ffffff
PTH106-0322	22.7676635909153	31.3186898315059	3	0.1	0.0	#ffffff
TTC86-0508	-2.54683440327832	-37.4111256859845	7	0.5614188281402743	1316.69668552142	#ff7d7d
TTH134-0508	-15.8676685099908	-18.2832265996639	2	0.1	0.0	#ffffff
NTH109-0322	8.51061746796144	25.9394816513743	0	0.1	0.0	#ffffff
PTS3-33-0508	14.3016711925906	24.2297167671864	3	0.1	0.0	#ffffff
TTC39-0508	-3.49134302908966	-42.5376506909827	7	0.7461078188521595	1843.72195430544	#ff4848
TTR166-0322	28.6412787520063	-17.6690341552012	8	0.1	0.0	#ffffff
TTC65-0322	9.50864384173964	9.14243511750641	6	0.32970560100576474	655.483879383545	#ffbebe
NTH156-0322	6.14142828315359	12.3980853389	0	0.1	0.0	#ffffff
TTC2-5-0508	-1.54447712470806	-41.3112903173785	7	0.504535536193316	1154.37552001983	#ff8d8d
PTH72-1116	7.17974472362031	44.9699971637779	1	0.10190224982733159	5.42822678644521	#ffffff
PTH47-0205	36.2740175597025	22.6720853440358	3	0.1	0.0	#ffffff
NTC26-0508	1.92775921062926	-6.86102375438127	5	0.6564553658183424	1587.89128472859	#ff6262
TTC34-1116	36.232488553288	-36.2022558034266	9	0.6932295649358833	1692.82949517381	#ff5757
NTH28-1116	-8.24876756371365	30.7735555859151	0	0.10227683618688896	6.49713986062253	#ffffff
TTS19-0205	36.7561463215825	-15.8812038250581	4	0.1	0.0	#ffffff
TTR187-0508	39.3413848827055	-12.119148272986	4	0.1	0.0	#ffffff
TTS133-0205	28.7985346967037	-5.60009075490878	4	0.1	0.0	#ffffff
TTS1-55-0508	27.4593255716693	1.18773498616103	4	0.1	0.0	#ffffff
PTC163-0322	-10.4749744344062	-2.15514673421455	5	0.7747836702372003	1925.5508615162	#ff4040
PTC105-1116	30.4748353560072	-39.9924369772808	9	0.8836178295256518	2236.11811206422	#ff2121
TTH1-96-0508	1.94435913033966	0.817207277675926	6	0.1	0.0	#ffffff
PTH96-0407	-31.502438568036	-4.30241967100295	0	0.1	0.0	#ffffff
TTH154-0508	30.3262949440195	2.53256814210197	4	0.1	0.0	#ffffff
PTC116-0322	-36.72431108212	8.34988542563942	5	0.3854708274898725	814.614552864979	#ffafaf
NTC108-1116	-24.2549481014513	6.33408403473449	0	0.960123693880275	2454.43390646882	#ff0c0c
PTC158-1116	-41.8567303523757	-23.260385415096	2	0.9200771601709945	2340.15781935258	#ff1717
TTH38-0205	12.7643150056805	1.40385178903285	6	0.1	0.0	#ffffff
TTR141-0407	-28.7872754527057	10.7032063505599	0	0.1	0.0	#ffffff
TTC53-0508	35.6299651734014	-37.0903515797603	9	0.6227789394100907	1491.79282422435	#ff6b6b
PTH29-0508	23.3400629054912	30.8265244494466	3	0.1	0.0	#ffffff
TTH28	45.7259273920822	8.45279576012117	10	0.1	0.0	#ffffff
TTH26	48.4471600054785	7.88930824715923	10	0.1	0.0	#ffffff
TTC116-0407	-11.8064505482425	1.85049968912441	7	0.6674633905173346	1619.30359118717	#ff5f5f
PTS100-0205	21.2097607874227	16.8240087657868	3	0.1	0.0	#ffffff
TTR146-0322	24.5491171526982	-14.539594317363	8	0.1	0.0	#ffffff
TTC169-0407	-19.5118415358313	-13.3330133856105	0	0.8604626168249353	2170.04280270058	#ff2828
TTH22	45.7702741635659	8.31691235746041	10	0.1	0.0	#ffffff
JTH-14-0508	10.3756079880064	6.45562374321936	6	0.1	0.0	#ffffff
NTH2-47-0508	7.43363997937056	-2.64070433114434	6	0.1	0.0	#ffffff
JTH-67-0508	-2.94129255795252	-11.9593784397017	6	0.1	0.0	#ffffff
PTC21-0322	-18.7573506978226	-5.51405086382158	0	0.5781181550143653	1364.34959217496	#ff7878
PTH105-0205	26.5199751989608	17.3594246074059	3	0.1	0.0	#ffffff
TTH30-1116	-25.2311238009186	-5.97587718432662	0	0.10116853985680369	3.33452486660413	#ffffff
JTS-62-0508	24.6847533574645	2.75200205837437	4	0.1	0.0	#ffffff
PTC2-34-0508	-25.0525587591183	-29.8997864873926	2	0.18779499667715271	250.530264653674	#ffe7e7
TTH31	48.3558515033253	12.3581394181428	10	0.1	0.0	#ffffff
PTC2-87-0508	34.4580663542805	17.9837815242948	3	0.2760798135800945	502.458271723706	#ffcece
TTH113-0322	6.35498627673996	7.26645728102241	5	0.1	0.0	#ffffff
TTC54-1116	-25.0263032919031	-11.3798371607029	0	0.6349372267272275	1526.48749994145	#ff6868
TTH39	45.8544151802713	8.18569077949303	10	0.1	0.0	#ffffff
TTC37-0205	6.98521549480974	-10.3031418870545	5	0.28136685043789	517.545267490538	#ffcccc
PTH3-39-0508	25.6436611834609	15.6755487660035	3	0.1	0.0	#ffffff
TTH37	47.5246157594891	12.1208901702625	10	0.1	0.0	#ffffff
PTH3-61-0508	25.7831860132204	28.3464336571438	3	0.1	0.0	#ffffff
PTR32-0322	-1.48739172539576	23.0188865630303	1	0.1	0.0	#ffffff
TTR7-1116	13.1902563636545	-21.4943304125794	8	0.10084943986265207	2.42394671281974	#ffffff
NTR84-0407	-18.9146302713347	15.4301532858292	0	0.1	0.0	#ffffff
NTH176-0322	-36.2909566487581	3.44530109048697	0	0.1	0.0	#ffffff
TTH159-0407	-33.76338226247	21.3361975449937	0	0.1	0.0	#ffffff
TTC2-52-0508	-1.2019548716084	-32.2545069273637	7	0.74930787323845	1852.85357344829	#ff4848
TTH1-49-0508	-15.4979961871497	-22.5321645108577	2	0.1	0.0	#ffffff
TTR43-0322	17.6359600422021	-11.7514314049957	8	0.1	0.0	#ffffff
TTC112-1116	35.9695969276587	-36.226535925205	9	0.877159506113598	2217.68875350304	#ff2323
NTH50-1116	-17.2802748074395	15.6791844201232	0	0.1	0.0	#ffffff
TTS1-35-0508	36.4112267475645	-2.26284301730412	4	0.1	0.0	#ffffff
TTH87-0407	-31.1326576502788	13.8562224795032	0	0.1	0.0	#ffffff
TTC12-0322	-27.3621289999681	5.30685995194218	0	0.6280260052791438	1506.76575947786	#ff6a6a
TTH180-0322	6.61528636492688	36.2230414093713	1	0.1	0.0	#ffffff
NTC186-0322	-40.6620433954229	10.3585682889422	5	1.0	2903.04920321008	#ff0000
PTS1-5-0508	28.3862886225179	21.9166072426702	3	0.10033964263854547	0.969198283990721	#ffffff
TTC1-1-0508	-7.26023317760919	-25.2707594588324	7	0.6542540461990701	1581.60963762253	#ff6262
PTH146-0322	-44.0598169055599	-15.8369371887661	2	0.1	0.0	#ffffff
TTC33-0508	-3.56913428099983	-33.6654892350233	7	0.9968197920166241	2559.14924932217	#ff0101
PTC2-41-0508	-6.27459173038576	-9.4761342967544	5	0.10066908764493324	1.90929678348341	#ffffff
PTC1-7-0508	-12.8162022539068	-16.6076860428459	2	0.6466796948967959	1559.99560142276	#ff6565
TTC190-0322	-33.5137495838051	-18.1004899813374	0	0.33011853198287977	656.66221198672	#ffbebe
PTS26-1202	44.3680800602159	11.5724745045742	10	0.1	0.0	#ffffff
TTS140-0205	32.5437526480578	-5.46402914176213	4	0.1	0.0	#ffffff
PTR106-0322	2.26508595776407	28.2393179320314	1	0.1	0.0	#ffffff
NTR38-1116	16.7903368425095	-18.0454375712037	8	0.1	0.0	#ffffff
JTC-24-0508	-30.0850358293269	-31.5300998000184	2	0.8050102919440889	2011.80501975326	#ff3838
NTH2-21-0508	7.35676006995915	-0.66780665662333	6	0.1	0.0	#ffffff
