GeneName	tSNE_1	tSNE_2	x	GZMK_Opacity	GZMK_Expr	GZMK_Color
NTH18-0508	0.994837022882145	4.00021320191594	6	0.1	0.0	#ffffff
PTC143-0205	2.84497133079225	33.6528627729453	1	0.1	0.0	#ffffff
TTR231-0407	-8.81316378670526	28.4516266546422	0	0.4600588231618631	2609.99912638282	#ff9999
PTH13-0322	-17.9730557528918	29.9259206219952	0	0.1	0.0	#ffffff
TTR38-0322	12.9576164011882	-20.5634040268526	8	0.1	0.0	#ffffff
NTH2-42-0508	-0.352434683508844	-2.35465263998959	6	0.1	0.0	#ffffff
TTH178-0322	-11.2619236362529	22.0042327978741	0	0.1	0.0	#ffffff
PTC166-1116	-40.6819285748598	-20.2607308664671	2	0.3568369487031646	1861.76304708061	#ffb7b7
NTH26-1116	-30.4521123605881	15.9284611526672	0	0.1	0.0	#ffffff
TTR130-0407	-21.0607901479384	12.8585075643968	0	0.10087006196385151	6.30691659104405	#ffffff
PTR41-1116	-1.36746144721997	20.7969012512958	1	0.1	0.0	#ffffff
TTH175-0322	-24.2110806281714	15.2862468145383	0	0.5082861118480947	2959.58973003341	#ff8c8c
JTC-29-0508	-27.301269121026	-34.9593987715493	2	0.1	0.0	#ffffff
JTS-2-0508	28.8978291868038	0.560077693608463	4	0.1	0.0	#ffffff
NTH21-0322	-15.4636825232162	7.04806183473482	0	0.6478276238557459	3971.10007502607	#ff6464
TTC135-0322	7.09357186221912	-35.749535508368	11	0.1	0.0	#ffffff
PTR22-0407	-0.291577888211523	20.9029417989791	1	0.1	0.0	#ffffff
TTH140-0407	-27.839190525182	1.57401574978584	0	0.4344068508997967	2424.05277293409	#ffa1a1
NTH166-0407	-14.8110999617918	25.9080600732162	0	0.35024204451565133	1813.95781898806	#ffb9b9
PTS108-0205	19.0495217386508	11.0039018295846	3	0.1	0.0	#ffffff
NTH2-92-0508	33.8935820354638	-37.1750697321997	9	0.1	0.0	#ffffff
PTS76-0205	18.0494914293851	26.5408582985372	3	0.1	0.0	#ffffff
NTH144-0322	-18.186192430306	23.8073581173572	0	0.3523332983063646	1829.11692693291	#ffb8b8
PTC161-0322	-35.2635630535473	-27.2481117127299	2	0.1	0.0	#ffffff
JTS-73-0508	39.0955734257371	-12.7225596346696	4	0.1	0.0	#ffffff
TTR151-0322	43.5641398139247	-19.5047803035458	4	0.1	0.0	#ffffff
JTH-12-0508	13.8804042775851	5.25602717088027	6	0.1	0.0	#ffffff
NTC101-0322	-39.655263683833	14.8266414822265	5	0.1	0.0	#ffffff
TTC133-1116	-23.0869007719167	-12.3468679998044	0	1.0	8472.7578084675	#ff0000
PTR38-1116	2.96271355375298	37.992846897893	1	0.1	0.0	#ffffff
TTR105-0322	19.069639050321	-24.30531293589	8	0.1	0.0	#ffffff
TTH97-0322	3.48826265556017	6.58686116320834	6	0.3136338601776758	1548.59193154354	#ffc3c3
TTH107-0407	-2.03197232595441	24.0973577896205	1	0.8276579669626575	5274.65662804842	#ff3131
PTH3-30-0508	16.9362366639057	11.1911773613122	3	0.10596724350226759	43.2554330735856	#fffefe
PTR1-1116	6.90214648749936	29.9276719330744	1	0.1	0.0	#ffffff
TTH165-0508	22.13217014227	1.82967116680566	4	0.27049191703748954	1235.86404747854	#ffcfcf
TTC74-0508	-4.31645889149591	-31.8818961884396	7	0.16554052418459098	475.091012524792	#ffeded
TTS1-23-0508	35.5105922840833	-8.66693289304848	4	0.1	0.0	#ffffff
PTH61-1116	-1.22409987177573	44.0597957922178	1	0.10302522592991566	21.92929745438	#ffffff
TTH95-1116	15.3713813223452	-16.4519547081566	8	0.10021683066178969	1.57176494905576	#ffffff
PTR93-0322	-0.924362987292736	13.8350437808905	1	0.1	0.0	#ffffff
PTH108-0322	-0.794213001286121	43.646612932392	1	0.1	0.0	#ffffff
PTS3-19-0508	12.2815133542649	26.7317031301466	4	0.1	0.0	#ffffff
PTS3-65-0508	29.3227526972306	4.0302560375571	4	0.1	0.0	#ffffff
