GeneName	tSNE_1	tSNE_2	x	CD44_Opacity	CD44_Expr	CD44_Color
PTC14-0508	31.9147765593037	18.0794146612287	3	0.2814250820819336	203.21622228025	#ffcccc
TTH1-44-0508	-2.6616753339989	-0.161736693205528	6	0.3513897586351422	281.584423077214	#ffb8b8
NTH145-0407	-16.1300724486345	-2.1584369696961	0	0.32689420279348413	254.146682585805	#ffbfbf
TTS38-0205	31.0163397892902	-5.18192277149817	4	0.2554221971650619	174.090105976175	#ffd3d3
TTC34-0508	35.8037092686082	-36.7926957282487	9	0.15775038179362838	64.6868354070429	#ffefef
TTS122-0205	38.9721359140195	-17.6529985491749	4	0.19261372537254007	103.737648540837	#ffe5e5
TTC131-0322	-18.1700355340967	-6.0153158569638	2	0.19591815110355235	107.438972008111	#ffe4e4
TTR115-0322	29.6743583824269	-20.2797736757206	8	0.5203129297717614	470.797117926546	#ff8888
TTR5-1116	18.1487357544853	-19.6289815122951	8	0.1012722703595123	1.42508396971518	#ffffff
NTH11-1116	-28.2067898470209	9.3251125597458	0	0.639055128600201	603.801555870073	#ff6767
PTC147-0322	-41.2564526474448	-18.479951855586	2	0.10064783147888398	0.725643137664799	#ffffff
NTH112-0407	-42.1248785944961	-6.6400195376531	2	0.636147571805049	600.544769646274	#ff6868
NTC141-1116	-44.0632507697452	7.36388569084868	5	0.7028742962635867	675.286104824369	#ff5555
TTH23-0407	-20.8626163895494	10.9598595863989	0	0.251903549027238	170.148829643837	#ffd4d4
PTC2-90-0508	-26.940072933621	-32.0779111762407	2	0.11440138044213877	16.1311440264386	#fffbfb
TTR102-0407	-11.3247041322509	22.3476031110582	0	0.3280809748290582	255.475998946088	#ffbfbf
TTH91-1116	-13.5641621857371	10.846293877753	0	0.10129704915932802	1.45283897488539	#ffffff
PTC119-1116	-3.57006936460715	48.1137203273428	1	0.4626892541861911	406.252207531445	#ff9999
TTR51-1116	25.5927057446325	-10.4492936519513	4	0.20067639266051968	112.768730511222	#ffe3e3
TTH168-0508	9.38382031084801	8.79299363776546	6	0.20973952161618248	122.920440557448	#ffe0e0
JTS-5-0508	29.2032649137775	-4.45305390631801	4	0.749349786107988	727.343810222226	#ff4848
PTC144-1116	-8.10431174513691	41.9419171714385	1	0.4551552245000211	397.813258331029	#ff9b9b
NTC144-0322	-39.2230402368513	6.03408672726451	5	0.4103455028220092	347.621398107851	#ffa8a8
PTC43-0407	-39.6963467020764	6.79143761924704	5	0.5592498456885331	514.410784069338	#ff7d7d
