GeneName	tSNE_1	tSNE_2	x	LAYN_Opacity	LAYN_Expr	LAYN_Color
TTH53-0205	1.79347247835892	-23.3434542203964	7	0.1	0.0	#ffffff
NTH20-0322	-15.7670800213952	4.38890865761187	0	0.1	0.0	#ffffff
TTH174-0322	19.5372473757798	2.78647551137027	4	0.1	0.0	#ffffff
TTH93-0407	-22.6173710126991	20.1529622919361	0	0.1	0.0	#ffffff
NTC2-41-0508	-0.90675354901668	-27.6936345832953	7	0.1	0.0	#ffffff
NTC17-0322	-22.3291269217411	-26.8302075440797	2	0.1	0.0	#ffffff
PTH119-0205	-18.7710026528877	-20.098488637299	2	0.1	0.0	#ffffff
JTS-56-0508	43.2549661645367	-13.3439382518793	4	1.0	424.295159083186	#ff0000
PTS127-0205	28.700753036271	25.0442811812527	3	0.1	0.0	#ffffff
PTC80-0205	27.5968027010293	29.2103663512187	3	0.1	0.0	#ffffff
TTR50-0322	17.5590524918582	-16.2809412804078	8	0.2975629809796424	82.9033900739254	#ffc8c8
PTC140-1116	-40.5100582478133	-5.87288864186884	2	0.1	0.0	#ffffff
PTR41-0407	1.39895009981362	13.482568923666	1	1.0	515.946790254923	#ff0000
JTC-76-0508	-24.9714351470549	-29.9734829674252	2	0.1	0.0	#ffffff
PTC2-4-0508	35.0666008944206	17.9438743519994	3	0.1	0.0	#ffffff
NTH188-0322	-37.8801878933715	-6.44825402895933	2	0.1	0.0	#ffffff
NTR72-0407	-32.8742371857721	3.9705809624513	0	0.1	0.0	#ffffff
TTH1-5-0508	22.8652376651784	1.64107770093646	4	0.1	0.0	#ffffff
PTR64-0322	9.34669880524582	27.7246338759196	4	0.1	0.0	#ffffff
NTH91-1116	-30.904087904053	15.1130121244201	0	0.10244902481272548	1.02768473295624	#ffffff
PTR67-1116	1.5738671264645	14.477757672472	1	0.7623030055772853	277.922332140578	#ff4444
NTR7-0407	-27.6008622696791	15.9494752130393	0	0.1	0.0	#ffffff
PTH3-7-0508	17.7154128917918	19.9967315314159	3	0.1	0.0	#ffffff
NTR73-1116	-22.712494301654	14.9870787618406	5	0.1	0.0	#ffffff
TTC61-1116	-18.8809554225589	-13.0785374630348	0	0.1	0.0	#ffffff
NTR24-0407	-22.3863570118103	24.182730133511	0	0.1	0.0	#ffffff
PTR62-1116	-2.25323313274072	20.5391293070644	1	0.1	0.0	#ffffff
PTC79-0407	-12.1474418719978	28.4134031048618	0	0.1	0.0	#ffffff
PTS87-0205	30.2934248894402	24.7726093922156	3	0.1	0.0	#ffffff
TTC17-0407	-41.5885452299216	-25.0552544303334	2	0.1	0.0	#ffffff
TTS1-95-0508	35.2313050310719	-38.3423793697556	9	0.19021935032836854	37.8587625849783	#ffe6e6
TTR78-1116	18.8289029686827	-21.0523693901239	8	1.0	572.549947620474	#ff0000
PTC142-0322	-20.9001845082539	30.4382049985805	0	0.1	0.0	#ffffff
PTR18-0407	-0.192345977906003	16.4835815458467	1	0.1	0.0	#ffffff
PTC129-0205	-27.7967895983729	-33.0401397603182	2	0.1	0.0	#ffffff
TTC25-0205	20.0903367803766	-37.7992744049621	6	0.1	0.0	#ffffff
NTC85-0407	-29.7626937626414	-32.6967379075358	2	0.1	0.0	#ffffff
NTH117-0407	-28.6773318844212	-0.58243868392367	0	0.1	0.0	#ffffff
TTR126-0508	38.1750924374883	-16.8354761152148	4	1.0	380.567120237171	#ff0000
PTH36-0508	24.2721643461518	18.6795396638872	3	0.10335886340508363	1.40948046894157	#ffffff
TTR154-0407	18.4738614324404	-11.5193171616898	8	0.1	0.0	#ffffff
TTC111-0322	8.45012416171022	-36.7823061320881	11	0.1	0.0	#ffffff
TTS126-0205	33.6334546378767	-10.619162868596	4	1.0	887.378476079288	#ff0000
PTH16-0407	-3.91032279941214	46.8272383175525	1	0.1	0.0	#ffffff
PTS3-18-0508	11.3578172247869	27.1073534050819	4	0.1	0.0	#ffffff
TTH98-0322	3.25115952949471	1.10753960019855	6	0.1	0.0	#ffffff
PTH11-0508	32.2867091195971	26.7734848261438	3	0.1	0.0	#ffffff
PTH64-0407	-7.44049733342391	44.1982297363913	1	0.1	0.0	#ffffff
TTS1-70-0508	33.4017391474903	2.1316480479301	4	0.11075078647017066	4.51135450537607	#fffcfc
PTH137-0205	32.8615191160692	25.5836915965675	3	0.1	0.0	#ffffff
TTH96-1116	9.87119826843514	-21.4768279693786	0	0.1	0.0	#ffffff
PTH60-1116	6.55002011775558	36.4038511558707	1	0.1	0.0	#ffffff
TTH121-0407	-29.1685970926396	15.8193498179182	0	0.1	0.0	#ffffff
TTH166-0508	23.3069857835187	-3.93890511784296	4	0.1	0.0	#ffffff
TTR150-1116	10.6527872956601	-33.7566495955442	0	0.1	0.0	#ffffff
TTC184-0322	13.2211441804932	-32.4272772580797	11	1.0	791.843418090311	#ff0000
TTS2-8-0508	25.9138099143203	-39.6325422338306	9	0.21340160531058777	47.586736510327	#ffdfdf
NTH165-0407	-14.8889365213753	32.3060989914772	0	0.1	0.0	#ffffff
TTC2-93-0508	-5.11832213274617	-39.4892593397288	7	0.11334753451450914	5.60102836520551	#fffcfc
TTR106-0407	23.3786183643595	-12.0398269757828	8	0.1	0.0	#ffffff
TTH141-0508	9.77870084343829	3.96583115537342	6	0.1	0.0	#ffffff
NTC37-0407	2.61032872440553	-12.3585180690061	5	0.1	0.0	#ffffff
TTH73-0322	-28.2435263323152	10.751283888737	0	0.1	0.0	#ffffff
PTS3-25-0508	13.1264679579267	23.3850832159382	4	0.1	0.0	#ffffff
NTC2-34-0508	1.78875036124098	-24.2853535418324	7	0.1	0.0	#ffffff
TTH55-1116	21.4841377614171	-36.3597519109209	9	0.1	0.0	#ffffff
TTR205-0407	-26.7707623988211	16.4172678443866	0	0.1	0.0	#ffffff
PTR61-0407	3.08317707983064	16.7763058776193	1	0.1	0.0	#ffffff
TTC53-0407	-33.4052344172195	-5.51669613548062	0	0.1	0.0	#ffffff
NTC2-96-0508	1.05281178137326	-27.6165584902728	7	0.1	0.0	#ffffff
PTR105-0322	0.281425211251868	27.8494028763714	1	0.1	0.0	#ffffff
PTR53-0322	-9.47865136511689	37.9692421965038	1	0.1	0.0	#ffffff
TTC19-0407	-26.7037087523599	-10.2359307456816	0	0.1	0.0	#ffffff
TTC94-0508	1.86536987017755	-6.88520361190694	5	0.1	0.0	#ffffff
TTH66-0407	-36.2253293000224	1.57044862211192	0	0.1	0.0	#ffffff
JTC-71-0508	3.19192817690548	-11.4779102354011	5	0.1	0.0	#ffffff
TTH101-0407	-30.0076694014393	-4.42178329905047	2	0.1	0.0	#ffffff
PTC2-42-0508	33.0755770477448	16.1441749760302	3	0.1	0.0	#ffffff
TTR109-1116	34.3238357173309	-37.9331449144496	9	0.1	0.0	#ffffff
NTC18-0508	-5.65590051623136	-20.4356324471122	7	0.1	0.0	#ffffff
TTR162-0508	24.0638902710426	3.27800379380375	4	0.1	0.0	#ffffff
TTS41-0205	32.5139245600572	1.15005890055826	4	1.0	467.471564752634	#ff0000
PTH22-0205	7.52636425405595	37.8642605027303	1	0.1	0.0	#ffffff
TTH175-0508	-2.78823405772154	-2.19013157453343	6	0.1	0.0	#ffffff
NTR39-1116	-34.1600167020516	22.8276941325705	5	0.1	0.0	#ffffff
PTC4-0322	-35.918420712828	-7.55654007169511	0	0.1	0.0	#ffffff
TTS45-1202	46.9412253840247	11.3052078701424	10	0.1	0.0	#ffffff
PTR21-1116	12.9919663314486	26.5901776444403	3	0.1	0.0	#ffffff
NTR52-1116	22.1583177931435	-21.0345879991992	8	0.10159589511860942	0.669685762378647	#ffffff
TTR19-1116	19.7183872214683	-23.9541494908076	8	0.43035464393208067	138.626780041632	#ffa2a2
TTR98-1116	27.0680110592976	-38.4427089477709	9	0.1	0.0	#ffffff
JTS-83-0508	24.6120230164858	22.103397908587	3	0.1	0.0	#ffffff
TTR128-0508	39.6355924445178	-12.1564929515893	4	0.33450207937705745	98.4041507338163	#ffbdbd
TTC65-0407	-31.4533216419765	1.06240891326987	0	0.1	0.0	#ffffff
PTC171-0322	16.4737365556076	33.3439263458959	1	0.1	0.0	#ffffff
NTH110-0407	-17.201740147984	4.75905917781513	0	0.1	0.0	#ffffff
TTC124-0407	-6.26530645589691	-22.7176736485805	7	0.1	0.0	#ffffff
TTC177-0407	-31.8792657403116	-25.91105288364	2	0.1	0.0	#ffffff
PTC113-1116	-34.0650263955789	-14.1651648787511	0	0.1	0.0	#ffffff
NTC39-0407	-9.30528873234093	-22.2465122056605	7	0.1	0.0	#ffffff
TTC75-1116	30.7791681216658	-39.0480348330996	9	0.1	0.0	#ffffff
PTC74-0407	-17.3701077241435	-17.2301280490729	2	0.1	0.0	#ffffff
PTS50-0205	35.0787232703716	24.2755369892241	3	0.1	0.0	#ffffff
JTS-54-0508	32.8123755035425	-8.33403280131541	4	0.1818551949232053	34.3489105127187	#ffe8e8
TTR133-0407	20.795571363217	-15.5719000598718	8	0.41015598867516756	130.150814618205	#ffa8a8
TTC16-0205	34.6037789388852	-36.6746515295617	9	0.1	0.0	#ffffff
NTC155-1116	-25.8649238765895	-9.65956518079008	0	0.1	0.0	#ffffff
PTC108-0322	-29.6650221793404	0.671906216907912	0	0.1	0.0	#ffffff
NTH2-55-0508	-22.868841088121	-27.1803916134574	2	0.1	0.0	#ffffff
JTH-59-0508	-11.5807749125569	-17.8307532813764	2	0.1	0.0	#ffffff
NTH168-0322	-15.1980712754715	7.41891215699905	0	0.1	0.0	#ffffff
PTC13-0322	-19.0457042771346	3.57978104116134	5	0.1	0.0	#ffffff
NTR10-0407	2.35178591713774	23.6686940133333	1	0.1	0.0	#ffffff
NTR63-0407	-38.932731255631	12.6890658575499	0	0.1	0.0	#ffffff
TTR199-0407	-15.5259771240018	23.7696807438057	0	0.10197073595413475	0.826980291187129	#ffffff
TTH146-0508	10.1336367766402	9.85457666055161	6	0.1	0.0	#ffffff
PTC192-1116	-42.7969242257861	-25.9405854879123	2	0.1	0.0	#ffffff
JTC-58-0508	-3.02741601573904	-28.0946159745087	7	0.1	0.0	#ffffff
NTH111-0322	-44.9112326356109	-11.7649007382384	2	0.1	0.0	#ffffff
PTC179-1116	-37.8046004954143	-19.9337623163149	2	0.1	0.0	#ffffff
PTH75-0407	-8.66230576153827	43.9401045022354	1	0.10168058604627415	0.705224631943668	#ffffff
NTH98-0322	3.30786200705597	38.0215265574612	1	0.1	0.0	#ffffff
TTH87-0322	4.50588960308665	11.2462673239085	0	0.1	0.0	#ffffff
PTR32-0407	-0.647884074162586	14.1600876955578	1	0.1	0.0	#ffffff
TTC12-0407	-17.8840470842501	-28.5535872357006	2	0.1	0.0	#ffffff
NTH176-0407	-11.1146954668282	-7.23239332950315	6	0.1	0.0	#ffffff
NTR92-0407	-24.2276785588286	13.5703875912929	0	0.1	0.0	#ffffff
NTH15-0508	1.39609119545635	-1.80861672709553	6	0.1	0.0	#ffffff
PTH10-0322	6.22287935538725	44.4425363238359	1	0.1	0.0	#ffffff
TTR125-0322	27.3875776297274	-27.1465687676848	8	0.7700670581682059	281.180362958436	#ff4242
TTR154-0322	20.550038394009	-12.6663199228754	8	1.0	573.936731783262	#ff0000
TTC45-0205	-0.341286047303974	-25.6735422302461	7	0.1	0.0	#ffffff
TTH95-0407	-41.4951333076962	-6.57483212823388	2	0.1	0.0	#ffffff
TTC116-0322	-16.002461464647	-4.58804811618196	0	0.1	0.0	#ffffff
PTH126-0205	28.3069832615577	24.6665600791587	3	0.1	0.0	#ffffff
TTH167-0407	-14.7645236317207	24.0746767152992	0	0.1	0.0	#ffffff
NTC125-0322	-37.7011870081794	11.0551509157275	5	0.1	0.0	#ffffff
PTC116-0407	1.77563509754878	34.0013924090685	1	0.1	0.0	#ffffff
TTH172-0322	-7.52157126542707	27.6372216927322	0	0.1	0.0	#ffffff
NTC14-0508	5.72215014618159	-10.0657393952252	5	0.1	0.0	#ffffff
PTC25-0205	-5.54914321780473	-12.3550491682711	5	0.1	0.0	#ffffff
PTR28-1116	2.81439102720623	25.7797699851784	1	0.1	0.0	#ffffff
PTR98-0407	8.01145631077993	38.8340946061982	1	0.1	0.0	#ffffff
NTH2-75-0508	-2.85741759534579	-17.4692423611126	6	0.1	0.0	#ffffff
TTC146-1116	13.6688522716571	-40.108721317657	9	0.14787749881228276	20.0908436394143	#fff2f2
NTC180-0322	1.99854604518585	-11.7832256932551	5	0.1	0.0	#ffffff
TTH13-0407	-29.1390377959991	14.5983831727977	0	0.1	0.0	#ffffff
TTR113-0407	17.435765353995	-14.4258570584177	8	0.6211435259562186	218.68755372395	#ff6c6c
NTC97-0322	-1.14811347087859	-4.82795015089832	5	0.1	0.0	#ffffff
PTS30-0205	30.7159106674136	24.9148180998154	3	0.1	0.0	#ffffff
PTC172-1116	-37.9841257745861	-19.8766239569525	2	0.1	0.0	#ffffff
TTR48-0322	16.1808576982131	-15.8861022446578	8	0.307945997314012	87.2604171295198	#ffc5c5
TTR32-1116	31.6810747218507	-38.3264408069675	9	0.1	0.0	#ffffff
