GeneName	tSNE_1	tSNE_2	x	CCR7_Opacity	CCR7_Expr	CCR7_Color
PTS3-5-0508	18.2950321848208	25.5404259101782	3	0.9015094232195693	2531.64760225181	#ff1c1c
PTR54-0322	24.6089019937821	28.4199655766697	3	0.285607350531319	586.259363047065	#ffcbcb
PTR76-0407	-0.833978822894099	26.0186138944401	1	0.1006206267617764	1.96031164179347	#ffffff
PTH31-0407	-7.59828882350282	39.7998167958584	1	1.0	6515.58271969871	#ff0000
TTH1-55-0508	24.7381743643401	-4.30562814864446	4	0.1	0.0	#ffffff
JTC-36-0508	-22.2359570615106	-27.3149941727661	2	0.1	0.0	#ffffff
TTC122-1116	21.9039499440779	-39.0456087179304	9	0.1	0.0	#ffffff
NTC2-33-0508	1.94843621382401	-18.9985626525041	7	0.1	0.0	#ffffff
TTS48-1202	49.1260963900395	10.2547176796577	10	0.17984667419027656	252.203698927965	#ffe9e9
TTR112-0322	19.4727483152355	-16.0840377959708	8	0.1	0.0	#ffffff
PTC11-0508	17.0149478890622	16.4725266561874	3	0.3640885777180982	834.150161175286	#ffb5b5
JTH-51-0508	6.95354432354664	4.03513578277209	6	0.1	0.0	#ffffff
TTH139-0322	-29.8197873777535	-25.6004605393861	2	0.1	0.0	#ffffff
TTH93-0205	12.4167527063901	-2.31130087550884	6	0.1	0.0	#ffffff
JTS-48-0508	39.3306944707535	-11.6715514255028	4	0.1	0.0	#ffffff
TTC164-0407	-7.82790503385702	-25.1655548228197	7	0.1	0.0	#ffffff
PTC89-0407	-40.1013235952128	-24.0508776225458	2	0.10074656437104795	2.35809816470793	#ffffff
PTR33-0407	-27.1742336984155	-2.82603905327648	0	0.10207401993218251	6.55099919754018	#ffffff
TTC45-0508	3.06297058314905	-9.54591836987364	5	0.1	0.0	#ffffff
PTC12-1202	39.551730893914	17.5569613696908	10	0.1	0.0	#ffffff
TTR126-0322	18.3118598567109	-16.8786523261201	8	0.1	0.0	#ffffff
PTH3-0322	1.88393836027501	45.7986431498993	1	1.0	9544.04523698907	#ff0000
TTR169-0322	26.6623901334923	-26.9975304118515	8	0.1	0.0	#ffffff
TTC2-85-0508	-4.23491196845277	-42.4747949758802	7	0.1	0.0	#ffffff
PTC3-0322	-27.7922372092399	2.23076299721125	0	0.1	0.0	#ffffff
PTS119-0205	18.111791747793	20.0114726760488	3	0.1	0.0	#ffffff
PTH190-0322	-5.93053833851288	32.1073759172815	1	0.7210803209028952	1961.74425361542	#ff5050
PTC191-1116	-34.9518958260611	9.1704720157021	5	0.1	0.0	#ffffff
NTH155-0322	-11.9589675233344	26.278142598132	0	0.1	0.0	#ffffff
TTR202-0407	-13.0769058766334	30.4231819693766	0	0.1	0.0	#ffffff
TTC53-1116	8.4287547346385	-37.6915563843839	11	0.1	0.0	#ffffff
PTR102-0322	2.59011270508252	28.1698236854642	1	0.21048040597591877	348.963401779145	#ffe0e0
PTR26-0407	-6.04935162505902	45.0622999106714	1	0.3292051663126098	723.967420605216	#ffbfbf
NTR60-1116	14.3992950497692	-20.7695225532464	6	0.1	0.0	#ffffff
PTR70-1116	0.412509749869606	20.3748628751258	1	0.10037581396970477	1.18704597567176	#ffffff
TTR67-0322	12.5933722857419	-14.6394487148764	8	0.1	0.0	#ffffff
TTC178-0407	-16.8064280278451	-29.2294031335364	2	0.1	0.0	#ffffff
TTS1-87-0508	37.3828574588096	-8.1324199134483	4	0.1	0.0	#ffffff
NTR16-0407	-7.47883535392342	27.1513905114634	0	0.1	0.0	#ffffff
PTH49-0407	-9.8502857777156	39.8987907467933	1	0.9076751652324873	2551.12271449741	#ff1b1b
