""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S550"	0.344395075521759	0.44458706245534	0.488427306792906	0.304934064931748	0.439447057849574	0.496289878622435	0.215527599690068
"S551"	0.34235572672134	0.378060915568184	0.41676524506253	0.28055272360398	0.364334167820041	0.440302021078667	0.203244456245131
"S552"	0.355785685537993	0.395486420206291	0.388745888056853	0.307759885404274	0.372706395521006	0.425545275659222	0.209042070574967
"S553"	0.37737327739498	0.417197979354124	0.464038386235478	0.337773331066782	0.413898874645598	0.480050008474791	0.243067659660752
"S554"	0.374278828528034	0.360414212762686	0.35614284774856	0.33979998184827	0.352428203292576	0.384419331778946	0.247707069364127
"S555"	0.364998582528034	0.433341345762686	0.46439798074856	0.33456596384827	0.416680619292576	0.484277036778946	0.243315533364127
"S556"	0.375352299326361	0.433546137214061	0.472784984827052	0.351390184537198	0.415327457174442	0.486702943603876	0.252483521584378
"S557"	0.359477238253558	0.368938441202433	0.508004256114858	0.305203018729932	0.348934211407952	0.518579768295288	0.226558475058631
"S558"	0.366523327923014	0.433618673116809	0.405782992984037	0.346524055915053	0.404897212938175	0.439269371253737	0.22289197002488
"S559"	0.37241582739498	0.396336056354124	0.379207998235478	0.336664713066782	0.374475859645598	0.412813083474791	0.246330982660752
"S560"	0.374158214627825	0.402003506819108	0.411871208383371	0.335991476184386	0.376375300777809	0.422674910507062	0.246089731141659
"S561"	0.375331659834478	0.378427676089536	0.434157834959025	0.351940151273461	0.370099745010158	0.44642882262227	0.241783324526827
"S562"	0.346927844330544	0.411236153085625	0.431993862130821	0.304361196814879	0.402425087469777	0.446137939041551	0.208826742033751
"S563"	0.377051758580419	0.418449847151798	0.476095594893039	0.362824965905329	0.4083427770923	0.490708284613073	0.264567294555603
"S564"	0.377982233987449	0.368983829385309	0.377512657088694	0.340244023166956	0.348003665113996	0.398519522686977	0.239472961651881
"S565"	0.34438931719749	0.401189254677062	0.434281636617739	0.296163553033391	0.382988308822799	0.453203123737395	0.208093473330376
"S566"	0.366259871326361	0.377276789214061	0.346822864827052	0.326995406537198	0.349975846174442	0.379391419603876	0.235890332584378
"S567"	0.375492321792051	0.379514255144029	0.422082539122839	0.310163859772406	0.365998097438864	0.433914788668419	0.236703709546191
"S568"	0.368380312858578	0.39865355384831	0.40896176787938	0.328945599663149	0.375635900762353	0.434353747820496	0.231335820397879
"S569"	0.367257081661089	0.439544828171249	0.454427802261642	0.336933215629758	0.436957110939554	0.470399181083101	0.239103246067503
"S570"	0.370878451191214	0.374974809369716	0.474778877662086	0.317655598116869	0.370080200379797	0.476964711580884	0.219136294656317
"S571"	0.31995620452385	0.348964579891122	0.429483157444791	0.250567384570589	0.365435996997242	0.447917868341272	0.191937246914754
"S572"	0.367352624322177	0.388531628342497	0.467410345523283	0.324516403259517	0.382389555879108	0.469301723166202	0.243124582135005
"S573"	0.333066930792051	0.392510151144029	0.449028297122839	0.273966134772406	0.376782616438864	0.459538074668419	0.191620649546191
"S574"	0.326667238854395	0.391629603976746	0.485876327575612	0.276169735385468	0.381958404467019	0.500407223382822	0.183450699948506
"S575"	0.379034820920922	0.342161086681027	0.363541856332153	0.364316914276212	0.336007715790507	0.3767137685349	0.261982326800193
"S576"	0.399032256991633	0.390267009256873	0.406597783392463	0.384697577444637	0.384993282409331	0.419553906124652	0.291468401101254
"S577"	0.354068947856487	0.386909645412528	0.455182095227496	0.298904093024309	0.368315522614686	0.481236329101659	0.209047106173192
"S578"	0.377506643388704	0.410139696046778	0.446500909279824	0.339717285150261	0.400654834202597	0.46205451531828	0.258016714986693
"S579"	0.358888014987449	0.356180688385309	0.410836034088694	0.310146423166956	0.362603090113996	0.432164276686977	0.198283027651881
